#EventID | Time | Latitude | Longitude | Depth/km | Author | Catalog | Contributor | ContributorID | MagType | Magnitude | MagAuthor | EventLocationName
11710420|2023-06-19T14:18:55|37.3123|-104.4787|6.0|us|NEIC PDE|us|us7000k9kq|Mwr|4.1|us|COLORADO
11667527|2023-03-10T06:06:47|37.175|-104.7339|5.574|us|NEIC PDE|us|us7000jiqv|Mwr|4.3|us|COLORADO
11011105|2019-03-04T17:22:51|38.280333|-108.911|0.76|uu,us|NEIC PDE|uu|us1000jadd,uu60315157|Mw|4.49|UU|COLORADO
10939664|2018-08-24T10:02:37|39.7629|-108.4018|5.1|us|NEIC PDE|us|us1000ggmk|Mwr|4.1|us|COLORADO
10599671|2017-12-30T23:46:11|37.2734|-104.8631|4.0|us|NEIC PDE|us|us1000byd4|Mwr|4.0|us|COLORADO
5173608|2016-02-06T23:09:10|37.0802|-104.9659|1.71|us|NEIC PDE|us|us20004yg7|ml|4.0|us|COLORADO
5156038|2015-08-20T05:14:08|37.1612|-104.9279|3.3|ISC|ISC|ISC|607670056|ML|4.0|NEIC|COLORADO
3320947|2011-08-23T14:11:12|37.0658|-104.7546|10.0|ISC|ISC|ISC|17217390|MW|4.0|NEIC|COLORADO
3320863|2011-08-23T05:46:19|37.068|-104.6482|10.0|ISC|ISC|ISC|16998180|MW|5.3|GCMT|COLORADO
3320857|2011-08-22T23:30:20|37.0389|-104.6316|12.0|ISC|ISC|ISC|16998170|MW|4.9|GCMT|COLORADO
9753505|2010-11-20T22:29:21|38.2635|-106.5704|5.9|ANF|ISC|ISC|600326145|ml|4.1|ANF|COLORADO
2873054|2009-08-17T00:22:09|38.4708|-102.7606|10.0|ISC|ISC|ISC|13583496|MN|4.1|NEIC|COLORADO
1790133|2004-11-07T06:54:59|38.236|-108.915|0.6|NEIC|ISC|ISC|7432033|ML|4.0|NEIC|COLORADO
1312761|2002-01-31T18:17:45|40.269|-107.651|5.0|ISC|ISC|ISC|2789230|ML|4.3|NEIC|COLORADO
1048542|2001-09-05T10:52:07|37.109|-104.528|5.0|ISC|ISC|ISC|2057167|MN|4.5|NEIC|COLORADO
1041898|2001-09-04T12:45:52|37.17|-104.486|5.0|ISC|ISC|ISC|2056355|MN|4.0|NEIC|COLORADO
1083601|2001-08-09T22:38:54|39.678|-107.391|5.0|ISC|ISC|ISC|2051239|ML|4.0|NEIC|COLORADO
994965|2000-05-27T21:58:18|38.339|-108.849|5.0|ISC|ISC|ISC|1803524|ML|4.3|NEIC|COLORADO
